key,share
industry_final_demand_for_other_minerals_coal,6.74397611765789E-01
industry_final_demand_for_other_transport_equipment_coal,0.00000000000000E+00
industry_final_demand_for_other_machinery_coal,0.00000000000000E+00
industry_final_demand_for_other_mining_coal,2.73100060492465E-02
industry_final_demand_for_other_food_coal,3.07101455941478E-01
industry_final_demand_for_other_paper_coal,0.00000000000000E+00
industry_final_demand_for_other_wood_products_coal,0.00000000000000E+00
industry_final_demand_for_other_construction_coal,0.00000000000000E+00
industry_final_demand_for_other_textile_coal,0.00000000000000E+00
industry_final_demand_for_other_non_specified_coal,-8.80907375651414E-03
