status,converter key,query
necessary,agriculture_final_demand_network_gas,"EB(""agriculture/forestry"", natural_gas)"
necessary,agriculture_final_demand_crude_oil,"EB(""agriculture/forestry"", ""crude/ngl/feedstocks_(if_no_detail)"") + EB(""agriculture/forestry"", crude_oil) + EB(""agriculture/forestry"", natural_gas_liquids) + EB(""agriculture/forestry"", ""additives/blending_components"") + EB(""agriculture/forestry"", other_hydrocarbons) + EB(""agriculture/forestry"", refinery_gas) + EB(""agriculture/forestry"", ethane) + EB(""agriculture/forestry"", ""liquefied_petroleum_gases_(lpg)"") + EB(""agriculture/forestry"", motor_gasoline) + EB(""agriculture/forestry"", aviation_gasoline) + EB(""agriculture/forestry"", gasoline_type_jet_fuel) + EB(""agriculture/forestry"", kerosene_type_jet_fuel) + EB(""agriculture/forestry"", other_kerosene) + EB(""agriculture/forestry"", ""gas/diesel_oil"") + EB(""agriculture/forestry"", fuel_oil) + EB(""agriculture/forestry"", naphtha) + EB(""agriculture/forestry"", ""white_spirit_&_sbp"") + EB(""agriculture/forestry"", lubricants) + EB(""agriculture/forestry"", bitumen) + EB(""agriculture/forestry"", paraffin_waxes) + EB(""agriculture/forestry"", petroleum_coke) + EB(""agriculture/forestry"", ""non-specified_oil_products"")"
necessary,agriculture_final_demand_steam_hot_water,"EB(""agriculture/forestry"", heat)"
necessary,agriculture_final_demand_for_heat_wood_pellets,"EB(""agriculture/forestry"", primary_solid_biofuels) + EB(""agriculture/forestry"", ""non-specified_primary_biofuels_and_waste"")"
necessary,agriculture_final_demand_electricity,"EB(""agriculture/forestry"", electricity)"
